Pre_model_true_temp,post_model_true_temp
506.56,537.471
800.0,640.0
694.0,365.0
779.0,919.0
647.9,598.0
716.0,568.9
611.0,728.0
668.0,723.2
561.17,904.0
654.8,536.4
575.4,505.35
831.0,660.0
599.1,328.04
665.0,438.848
448.98,549.95
380.11,637.3
661.1,664.1
532.0,779.0
763.0,126.1931
516.5,623.0
672.0,707.0
550.8,594.0
543.4,528.7
498.75,798.0
772.6,702.0
478.58,437.84
536.76,778.0
553.418,594.37
618.7,657.0
705.0,487.0
603.9,673.0
464.5,592.0
498.97,694.0
412.378,647.23
503.26,693.0
368.07,496.3
556.1,783.1
764.0,664.1
390.85,471.17
540.0,611.7
523.31,617.1
587.17,706.0
731.0,584.1
499.51,521.0
711.0,467.8
535.2,423.27
576.5,473.0
565.11,812.0
684.8,479.1
604.2,543.0
662.0,708.2
722.39,598.0
718.0,574.4
718.0,502.2
737.0,679.0
518.77,679.0
509.3,482.02
461.8,356.9
459.0,511.749
602.0,651.0
615.9,718.0
735.7,790.0
663.1,586.78
556.84,623.8
501.08,770.0
357.24,317.45
650.9,840.0
739.0,685.7
599.4,732.0
824.0,628.0
586.0,730.0
433.75,678.5
476.31,384.97
612.0,651.0
588.0,624.0
530.7,562.032
424.6,789.9
529.49,707.0
772.0,618.0
632.0,454.9
566.72,665.0
766.89,850.0
621.5,418.6
583.09,530.0
460.2,304.1467
318.7088,620.2
442.6,448.9
391.752,836.0
734.0,714.0
586.5,400.31
487.46,451.65
638.85,500.0
690.0,594.0
430.63,456.6
561.5,406.814
667.0,575.3
587.2,711.1
475.0,573.5
824.0,702.0
563.4,302.98
616.77,687.64
956.0,397.0
565.4,510.2
660.2,549.0
447.0,134.35
581.4,784.0
461.1,373.05
708.0,607.0
785.6,671.8
699.0,682.0
870.0,803.1
382.515,386.449
563.4,561.5
540.0,518.0
475.0,453.0
778.0,428.0
